Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,1.0684594222869264e-10,0.0485052009716105,negligible,True,2.3799985824882025e-15,0.0449564205578056,negligible,True,-0.0035487804138049014,False,False
word_count_content,0.0,0.2921758200281975,small,True,0.0,0.2663376921218878,small,True,-0.025838127906309682,False,False
has_video,3.5011964075898464e-64,0.0691375242784453,negligible,True,3.876211364293909e-64,0.0690954161468835,negligible,True,-4.2108131561802153e-05,False,False
num_code_blk,3.100475531647612e-270,0.251561307952431,small,True,0.0,0.229329101746054,small,True,-0.022232206206376975,False,False
num_inline_code,5.028549853069528e-185,0.1797061186311219,small,True,2.0125799694788638e-244,0.1568818545246743,small,True,-0.02282426410644761,False,False
num_static_img,4.6220579237897527e-11,0.0370538844875397,negligible,True,3.5592804161303433e-13,0.0309564182569593,negligible,True,-0.006097466230580398,False,False
num_animated_img,1.576949427065068e-11,0.0059420391356302,negligible,True,6.181228279215708e-18,0.0058621145505337,negligible,True,-7.992458509650021e-05,False,False
num_lists,3.949325550565769e-163,0.1900278668956961,small,True,2.8872004073691643e-256,0.1807606635409227,small,True,-0.009267203354773379,False,False
num_table,4.8143626452673584e-76,0.1169445230067205,negligible,True,4.7754377489331286e-94,0.0987651496392529,negligible,True,-0.018179373367467597,False,False
num_github_links,1.160830121149417e-254,0.2269202416784119,small,True,0.0,0.2016214147282954,small,True,-0.02529882695011651,False,False
num_huggingface_links,9.745273456165125e-14,0.0537963953989463,negligible,True,1.8493033506245126e-19,0.0492284173155844,negligible,True,-0.004567978083361901,False,False
num_arxiv,0.0,0.2492896890475325,small,True,0.0,0.1968291873536542,small,True,-0.05246050169387828,False,False
has_bibtex,2.4244263405612357e-304,0.1522129381378757,small,True,0.0,0.1625938266922965,small,True,0.010380888554420792,False,False
has_license,1.0076440055662484e-119,0.0950036781009718,negligible,True,2.2363630984483e-156,0.1087397073237674,small,True,0.013736029222795612,False,True
has_config,1.0920229032199557e-56,0.0648402316559512,negligible,True,1.9669318930056957e-84,0.0795404242892045,negligible,True,0.014700192633253312,False,False
has_model_index_result,0.0036154305646986,0.0120329697805648,negligible,True,0.1170614338225931,0.0064532983771654,negligible,False,-0.005579671403399399,True,False
has_dataset,0.3037459438578821,0.0042768065836823,negligible,False,0.0303646576565608,0.0089311149902663,negligible,True,0.004654308406584,True,False
num_dataset,0.9118311682292536,-0.0006112917671128,negligible,False,0.0006158911814157,0.0144943635542796,negligible,True,0.0151056553213924,True,False
match_huggingface_dataset,0.0312474735854244,0.0088851160368763,negligible,True,0.6124194921755383,0.0020645318436688,negligible,False,-0.006820584193207501,True,False
model_size_bytes,1.667951635569208e-48,0.1099107875090002,negligible,True,1.855678411224801e-45,0.0803212285322238,negligible,True,-0.029589558976776398,False,False
num_root_file,1.9743386321363547e-32,0.0889629701365799,negligible,True,2.6882350495321956e-32,0.0671268431723988,negligible,True,-0.021836126964181107,False,False
num_modules,4.678440386295253e-87,0.1087682034564869,negligible,True,6.989001349903497e-69,0.0730904550446556,negligible,True,-0.0356777484118313,False,False
num_model_files,4.014398270306921e-35,0.0920646981566609,negligible,True,3.639974816184258e-21,0.0532290849312071,negligible,True,-0.038835613225453806,False,False
has_quantized,2.3925654546746065e-168,0.1129175745851405,small,True,1.3976890688422547e-223,0.1302504843746788,small,True,0.01733290978953829,False,False
has_space,0.0312474735854244,0.0089343472277625,negligible,True,0.0218460398449205,0.0095006854325754,negligible,True,0.0005663382048128988,False,False
has_safetensors,3.353108122843018e-63,0.0685767085770294,negligible,True,1.5523181636563454e-59,0.0664918791798413,negligible,True,-0.0020848293971880982,False,False
has_widgetData,6.998591567507289e-32,0.0480360396337588,negligible,True,2.2528992723636868e-51,0.0616227369445532,negligible,True,0.013586697310794399,False,False
has_pipeline_name,1.941910805585101e-128,0.0984606553285464,negligible,True,1.468466162660425e-174,0.1149630359921965,small,True,0.01650238066365009,False,True
has_primary_implementation_library_name,1.772797038006571e-33,0.0493171274144858,negligible,True,1.0522183090461684e-20,0.0382120323910599,negligible,True,-0.011105095023425902,False,False
has_supported_additional_frameworks_Libraries,1.549303386358236e-13,0.0302712187416723,negligible,True,2.6488156344876893e-05,0.0173197856470367,negligible,True,-0.0129514330946356,False,False
if_supported_libraries,1.6040819692740287e-09,0.0247027035058025,negligible,True,0.0011003620197353,0.0134578433824603,negligible,True,-0.0112448601233422,False,False
