Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,2.423911993025345e-91,0.1517778466221609,small,True,1.134481289608012e-44,0.1442666174867313,negligible,True,-0.007511229135429592,False,True
word_count_content,0.0,0.2956571350892114,small,True,9.932069072150586e-181,0.2948864089887212,small,True,-0.0007707261004901711,False,False
has_video,7.885669452764634e-11,0.0266557245746403,negligible,True,9.734792873401328e-08,0.0219153447443155,negligible,True,-0.004740379830324798,False,False
num_code_blk,0.0,0.282055704079214,small,True,5.070558328875046e-214,0.3066998384174195,small,True,0.024644134338205503,False,False
num_inline_code,2.566320693917457e-165,0.1700136877080271,small,True,1.068735504497534e-107,0.1870444669721068,small,True,0.0170307792640797,False,False
num_static_img,2.606581207264411e-15,-0.0445468909556352,negligible,True,4.5961509976599765e-24,-0.0782902518729152,negligible,True,-0.03374336091728,False,False
num_animated_img,0.4699874172595746,0.0006574629284725,negligible,False,0.6697166498818403,0.000528962900241,negligible,False,-0.00012850002823149996,False,False
num_lists,1.2880212279904192e-70,0.1244111990115004,negligible,True,1.4232825153218867e-51,0.1451818131905201,negligible,True,0.020770614179019695,False,False
num_table,1.920677051310582e-180,0.1798098431755482,small,True,5.252065646871219e-67,0.149010063252409,small,True,-0.030799779923139203,False,False
num_github_links,0.0,0.2639469830857281,small,True,5.704670164719949e-214,0.2844829182646137,small,True,0.020535935178885578,False,False
num_huggingface_links,4.452719973249402e-40,0.0951001909175009,negligible,True,0.0004736559887724,0.0347027311816375,negligible,True,-0.0603974597358634,False,False
num_arxiv,0.0,0.2679253264821071,small,True,0.0,0.3334941773737236,medium,True,0.06556885089161651,False,True
has_bibtex,0.0,0.1830455091091399,small,True,0.0,0.164516650410834,small,True,-0.018528858698305894,False,False
has_license,5.255272001724827e-68,0.0711516090814577,negligible,True,5.432535123409402e-37,0.0519364324921798,negligible,True,-0.019215176589277905,False,False
has_config,2.949705057148396e-176,0.1155254194340978,small,True,8.365145116242974e-163,0.1110500041858669,small,True,-0.0044754152482309045,False,False
has_model_index_result,3.669642572332375e-14,0.0310149407066265,negligible,True,4.2408352559215524e-14,0.0309386647054879,negligible,True,-7.627600113860322e-05,False,False
has_dataset,0.0066951679031536,0.0112355070524563,negligible,True,0.3959922966751686,0.0035534009612702,negligible,False,-0.0076821060911861,True,False
num_dataset,0.0011058721731476,0.0182149727485708,negligible,True,0.2816584155169161,0.008451437323823,negligible,False,-0.009763535424747798,True,False
match_huggingface_dataset,5.8454814095638846e-09,0.0238676286730521,negligible,True,1.5523347307729668e-15,0.0326849803702626,negligible,True,0.008817351697210502,False,False
model_size_bytes,3.1355759909199977e-47,-0.1083506496132166,negligible,True,7.237412861569533e-88,-0.204604915622848,small,True,-0.0962542660096314,False,True
num_root_file,2.1939845726349038e-41,0.1010182955530698,negligible,True,5.695643192814112e-07,0.0517271364091661,negligible,True,-0.04929115914390371,False,False
num_modules,0.2311224152287985,0.0067656277680636,negligible,False,6.929879631780462e-05,0.0305183103138803,negligible,True,0.0237526825458167,True,False
num_model_files,0.0651596466132968,-0.0138905662493334,negligible,False,1.6041307579877822e-15,-0.0814962149032813,negligible,True,-0.0676056486539479,True,False
has_quantized,9.009814071259479e-15,0.0317690508757863,negligible,True,5.670012364502241e-43,0.056160921685433,negligible,True,0.0243918708096467,False,False
has_space,0.0485069432178379,0.0082148777670971,negligible,True,0.1978597081805332,0.0054798967832324,negligible,False,-0.0027349809838647004,True,False
has_safetensors,2.3234619991541255e-152,0.1072918618435737,small,True,2.405384239623724e-140,0.1029738216795399,small,True,-0.004318040164033796,False,False
has_widgetData,1.3697986646278038e-75,0.0751325026750753,negligible,True,9.657876829723885e-44,0.0566958758441238,negligible,True,-0.018436626830951507,False,False
has_pipeline_name,7.206160646341646e-216,0.1280059455139335,small,True,1.651889331529461e-145,0.1049104080437253,small,True,-0.02309553747020819,False,False
has_primary_implementation_library_name,1.962413148145407e-152,0.1073314043559157,small,True,1.8670328496995056e-113,0.0924514284703786,negligible,True,-0.014879975885537106,False,True
has_supported_additional_frameworks_Libraries,1.3330475816131069e-194,0.1214731832092155,small,True,4.725843254636555e-141,0.1032544187931553,small,True,-0.0182187644160602,False,False
if_supported_libraries,1.1962153862460014e-91,0.0829125467249252,negligible,True,2.052059950997439e-68,0.0714322344364276,negligible,True,-0.011480312288497607,False,False
