Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,2.423911993025345e-91,0.1517778466221609,small,True,3.667717721528738e-89,0.1507038675790193,small,True,-0.001073979043141604,False,False
word_count_content,0.0,0.2956571350892114,small,True,0.0,0.2934040286111348,small,True,-0.002253106478076583,False,False
has_video,7.885669452764634e-11,0.0266557245746403,negligible,True,1.0725776189086461e-12,0.0293835316347836,negligible,True,0.0027278070601433023,False,False
num_code_blk,0.0,0.282055704079214,small,True,7.930867333235835e-303,0.2674839264209558,small,True,-0.014571777658258178,False,False
num_inline_code,2.566320693917457e-165,0.1700136877080271,small,True,1.770226522345015e-145,0.1599486800454207,small,True,-0.010065007662606401,False,False
num_static_img,2.606581207264411e-15,-0.0445468909556352,negligible,True,3.3546207723210536e-10,-0.0356822183034382,negligible,True,0.008864672652197002,False,False
num_animated_img,0.4699874172595746,0.0006574629284725,negligible,False,0.4562912795738328,0.000683604648491,negligible,False,2.6141720018500042e-05,False,False
num_lists,1.2880212279904192e-70,0.1244111990115004,negligible,True,2.8855487418481056e-70,0.1247110973844259,negligible,True,0.0002998983729255028,False,False
num_table,1.920677051310582e-180,0.1798098431755482,small,True,7.361829586860455e-194,0.1871933378301789,small,True,0.007383494654630701,False,False
num_github_links,0.0,0.2639469830857281,small,True,0.0,0.2550560080438101,small,True,-0.008890975041917992,False,False
num_huggingface_links,4.452719973249402e-40,0.0951001909175009,negligible,True,1.2334478248273496e-55,0.113265447900232,negligible,True,0.01816525698273111,False,False
num_arxiv,0.0,0.2679253264821071,small,True,0.0,0.2395198855948491,small,True,-0.028405440887257993,False,False
has_bibtex,0.0,0.1830455091091399,small,True,0.0,0.1643769530450655,small,True,-0.018668556064074388,False,False
has_license,5.255272001724827e-68,0.0711516090814577,negligible,True,2.3947743432580026e-65,0.0700646928573553,negligible,True,-0.0010869162241024105,False,False
has_config,2.949705057148396e-176,0.1155254194340978,small,True,4.3719187731023576e-139,0.1030057866937576,small,True,-0.012519632740340209,False,False
has_model_index_result,3.669642572332375e-14,0.0310149407066265,negligible,True,1.2597468220051984e-05,0.018150930591162,negligible,True,-0.012864010115464501,False,False
has_dataset,0.0066951679031536,0.0112355070524563,negligible,True,0.0037353218297428,0.0121001415301835,negligible,True,0.0008646344777271994,False,False
num_dataset,0.0011058721731476,0.0182149727485708,negligible,True,0.0003242158596437,0.0202321811123729,negligible,True,0.0020172083638021025,False,False
match_huggingface_dataset,5.8454814095638846e-09,0.0238676286730521,negligible,True,0.000434840190277,0.0146405531812709,negligible,True,-0.009227075491781199,False,False
model_size_bytes,3.1355759909199977e-47,-0.1083506496132166,negligible,True,1.169106144971483e-16,-0.062742365346279,negligible,True,0.045608284266937596,False,False
num_root_file,2.1939845726349038e-41,0.1010182955530698,negligible,True,8.819761648554264e-56,0.1184912387642682,negligible,True,0.017472943211198397,False,False
num_modules,0.2311224152287985,0.0067656277680636,negligible,False,0.2277732253411613,-0.006833108878553,negligible,False,-0.0135987366466166,False,False
num_model_files,0.0651596466132968,-0.0138905662493334,negligible,False,0.1599167375505197,0.0107360280717321,negligible,False,0.0246265943210655,False,False
has_quantized,9.009814071259479e-15,0.0317690508757863,negligible,True,0.0250944264885721,0.0093907125742166,negligible,True,-0.022378338301569697,False,False
has_space,0.0485069432178379,0.0082148777670971,negligible,True,0.132762058983575,0.00636927632271,negligible,False,-0.0018456014443870997,True,False
has_safetensors,2.3234619991541255e-152,0.1072918618435737,small,True,1.967261350210169e-117,0.0945212816252443,negligible,True,-0.0127705802183294,False,True
has_widgetData,1.3697986646278038e-75,0.0751325026750753,negligible,True,3.946558662875632e-78,0.0768113330995409,negligible,True,0.0016788304244655938,False,False
has_pipeline_name,7.206160646341646e-216,0.1280059455139335,small,True,7.349592044813509e-193,0.1215344260664491,small,True,-0.006471519447484392,False,False
has_primary_implementation_library_name,1.962413148145407e-152,0.1073314043559157,small,True,3.6580614182839525e-124,0.0972428537957259,negligible,True,-0.010088550560189799,False,True
has_supported_additional_frameworks_Libraries,1.3330475816131069e-194,0.1214731832092155,small,True,1.1641206898684246e-162,0.1115174018722899,small,True,-0.00995578133692561,False,False
if_supported_libraries,1.1962153862460014e-91,0.0829125467249252,negligible,True,8.269059223102272e-74,0.0745978044869583,negligible,True,-0.00831474223796691,False,False
