Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,1.0684594222869264e-10,0.0485052009716105,negligible,True,1.209558704211315e-07,0.0401042048470014,negligible,True,-0.008400996124609102,False,False
word_count_content,0.0,0.2921758200281975,small,True,9.579639579236043e-309,0.2829659439163477,small,True,-0.009209876111849757,False,False
has_video,3.5011964075898464e-64,0.0691375242784453,negligible,True,2.142150527621696e-71,0.0733740671922195,negligible,True,0.004236542913774205,False,False
num_code_blk,3.100475531647612e-270,0.251561307952431,small,True,8.078535375550461e-236,0.2359163401165314,small,True,-0.01564496783589958,False,False
num_inline_code,5.028549853069528e-185,0.1797061186311219,small,True,4.471744447163304e-166,0.1707539655349422,small,True,-0.008952153096179694,False,False
num_static_img,4.6220579237897527e-11,0.0370538844875397,negligible,True,2.1104951761775547e-15,0.0449345756598838,negligible,True,0.0078806911723441,False,False
num_animated_img,1.576949427065068e-11,0.0059420391356302,negligible,True,2.9714898859532884e-11,0.0058884191226081,negligible,True,-5.362001302210064e-05,False,False
num_lists,3.949325550565769e-163,0.1900278668956961,small,True,1.8322519435194583e-160,0.1893444207430043,small,True,-0.0006834461526917801,False,False
num_table,4.8143626452673584e-76,0.1169445230067205,negligible,True,1.0048867775285018e-71,0.1140505524044812,negligible,True,-0.002893970602239296,False,False
num_github_links,1.160830121149417e-254,0.2269202416784119,small,True,4.009837545134549e-230,0.2164085396803775,small,True,-0.010511701998034417,False,False
num_huggingface_links,9.745273456165125e-14,0.0537963953989463,negligible,True,2.137824973296329e-16,0.0595954110839039,negligible,True,0.005799015684957595,False,False
num_arxiv,0.0,0.2492896890475325,small,True,0.0,0.2225845222575624,small,True,-0.026705166789970092,False,False
has_bibtex,2.4244263405612357e-304,0.1522129381378757,small,True,9.683134550509515e-243,0.1365588331227699,small,True,-0.015654105015105807,False,False
has_license,1.0076440055662484e-119,0.0950036781009718,negligible,True,1.3893827235753898e-110,0.0917187180138482,negligible,True,-0.0032849600871235896,False,False
has_config,1.0920229032199557e-56,0.0648402316559512,negligible,True,3.484259353900436e-40,0.0545493118356453,negligible,True,-0.010290919820305895,False,False
has_model_index_result,0.0036154305646986,0.0120329697805648,negligible,True,0.3718214494674838,0.0038449945649327,negligible,False,-0.008187975215632099,True,False
has_dataset,0.3037459438578821,0.0042768065836823,negligible,False,0.5580423895619196,0.002509609936963,negligible,False,-0.0017671966467192996,False,False
num_dataset,0.9118311682292536,-0.0006112917671128,negligible,False,0.7229421864961192,0.0019662388052978,negligible,False,0.0025775305724106,False,False
match_huggingface_dataset,0.0312474735854244,0.0088851160368763,negligible,True,0.3718214494674838,0.0038772798981944,negligible,False,-0.005007836138681901,True,False
model_size_bytes,1.667951635569208e-48,0.1099107875090002,negligible,True,6.706664452523205e-70,0.1333246749451662,negligible,True,0.023413887436166,False,False
num_root_file,1.9743386321363547e-32,0.0889629701365799,negligible,True,9.1771823015925e-32,0.0884774296779777,negligible,True,-0.0004855404586022044,False,False
num_modules,4.678440386295253e-87,0.1087682034564869,negligible,True,1.3937144988407646e-78,0.1035869723637288,negligible,True,-0.005181231092758101,False,False
num_model_files,4.014398270306921e-35,0.0920646981566609,negligible,True,8.268526191408536e-40,0.0987650240187357,negligible,True,0.0067003258620747935,False,False
has_quantized,2.3925654546746065e-168,0.1129175745851405,small,True,1.1962467699536409e-150,0.1072824807791117,small,True,-0.005635093806028793,False,False
has_space,0.0312474735854244,0.0089343472277625,negligible,True,0.0325475853986825,0.0089794459800858,negligible,True,4.5098752323299504e-05,False,False
has_safetensors,3.353108122843018e-63,0.0685767085770294,negligible,True,6.373186967339963e-47,0.0591235992929349,negligible,True,-0.009453109284094499,False,False
has_widgetData,6.998591567507289e-32,0.0480360396337588,negligible,True,1.6678872509539744e-26,0.0438217297634913,negligible,True,-0.004214309870267496,False,False
has_pipeline_name,1.941910805585101e-128,0.0984606553285464,negligible,True,6.728497872323795e-111,0.0918701727781913,negligible,True,-0.0065904825503551034,False,False
has_primary_implementation_library_name,1.772797038006571e-33,0.0493171274144858,negligible,True,3.630144613384412e-20,0.0378661676234664,negligible,True,-0.0114509597910194,False,False
has_supported_additional_frameworks_Libraries,1.549303386358236e-13,0.0302712187416723,negligible,True,2.4774658363819757e-05,0.0174684103214103,negligible,True,-0.012802808420261998,False,False
if_supported_libraries,1.6040819692740287e-09,0.0247027035058025,negligible,True,0.0002689973145313,0.0151066423035383,negligible,True,-0.0095960612022642,False,False
